state,action,reward,next_state,policy_id
0,1,-0.01,3,1
3,2,-0.01,3,1
3,0,-0.01,0,1
0,3,-0.01,1,1
1,2,-0.01,0,1
0,3,-0.01,1,1
1,0,-0.01,1,1
1,1,-0.01,1,1
1,2,-0.01,0,1
0,1,-0.01,3,1
3,1,-0.01,6,1
6,0,-0.01,3,1
3,1,-0.01,6,1
6,0,-0.01,3,1
3,1,-0.01,6,1
6,2,-0.01,6,1
6,2,-0.01,6,1
6,2,-0.01,6,1
6,1,-0.01,6,1
6,3,-0.01,7,1
7,0,-0.01,7,1
7,1,-0.01,7,1
7,0,-0.01,7,1
7,1,-0.01,7,1
7,3,-0.01,8,1
0,1,-0.01,3,1
3,3,-0.01,3,1
3,1,-0.01,6,1
6,2,-0.01,6,1
6,1,-0.01,6,1
6,1,-0.01,6,1
6,3,-0.01,7,1
7,3,-0.01,8,1
0,1,-0.01,3,0
3,1,-0.01,6,0
6,3,-0.01,7,0
7,1,-0.01,7,0
7,3,-0.01,8,0
0,1,-0.01,3,0
3,1,-0.01,6,0
6,3,-0.01,7,0
7,1,-0.01,7,0
7,3,-0.01,8,0
0,1,-0.01,3,0
3,1,-0.01,6,0
6,3,-0.01,7,0
7,3,-0.01,8,0
0,1,-0.01,3,0
3,2,-0.01,3,0
3,3,-0.01,3,0
3,1,-0.01,6,0
6,3,-0.01,7,0
7,3,-0.01,8,0
0,1,-0.01,3,0
3,1,-0.01,6,0
6,3,-0.01,7,0
7,1,-0.01,7,0
7,3,-0.01,8,0
0,1,-0.01,3,0
3,1,-0.01,6,0
6,2,-0.01,6,0
6,1,-0.01,6,0
6,3,-0.01,7,0
7,3,-0.01,8,0
0,1,-0.01,3,0
3,1,-0.01,6,0
6,3,-0.01,7,0
7,3,-0.01,8,0
0,1,-0.01,3,0
3,0,-0.01,0,0
0,0,-0.01,0,0
0,1,-0.01,3,0
3,1,-0.01,6,0
6,1,-0.01,6,0
6,3,-0.01,7,0
7,3,-0.01,8,0
0,3,-0.01,1,1
1,0,-0.01,1,1
1,1,-0.01,1,1
1,2,-0.01,0,1
0,0,-0.01,0,1
0,2,-0.01,0,1
0,1,-0.01,3,1
3,3,-0.01,3,1
3,2,-0.01,3,1
3,2,-0.01,3,1
3,0,-0.01,0,1
0,1,-0.01,3,1
3,3,-0.01,3,1
3,0,-0.01,0,1
0,3,-0.01,1,1
1,1,-0.01,1,1
1,2,-0.01,0,1
0,2,-0.01,0,1
0,1,-0.01,3,1
3,1,-0.01,6,1
6,2,-0.01,6,1
6,0,-0.01,3,1
3,2,-0.01,3,1
3,0,-0.01,0,1
0,2,-0.01,0,1
0,2,-0.01,0,1
0,0,-0.01,0,1
0,3,-0.01,1,1
1,1,-0.01,1,1
1,3,-0.01,2,1
0,1,-0.01,3,0
3,0,-0.01,0,0
0,1,-0.01,3,0
3,0,-0.01,0,0
0,1,-0.01,3,0
3,1,-0.01,6,0
6,1,-0.01,6,0
6,3,-0.01,7,0
7,3,-0.01,8,0
0,0,-0.01,0,0
0,1,-0.01,3,0
3,1,-0.01,6,0
6,3,-0.01,7,0
7,3,-0.01,8,0
0,2,-0.01,0,0
0,1,-0.01,3,0
3,1,-0.01,6,0
6,0,-0.01,3,0
3,1,-0.01,6,0
6,3,-0.01,7,0
7,3,-0.01,8,0
0,2,-0.01,0,1
0,0,-0.01,0,1
0,0,-0.01,0,1
0,2,-0.01,0,1
0,3,-0.01,1,1
1,0,-0.01,1,1
1,1,-0.01,1,1
1,3,-0.01,2,1
2,3,-0.01,2,1
2,2,-0.01,1,1
1,1,-0.01,1,1
1,1,-0.01,1,1
1,2,-0.01,0,1
0,2,-0.01,0,1
0,1,-0.01,3,1
3,0,-0.01,0,1
0,0,-0.01,0,1
0,3,-0.01,1,1
1,1,-0.01,1,1
1,1,-0.01,1,1
1,1,-0.01,1,1
1,3,-0.01,2,1
2,0,-0.01,2,1
2,0,-0.01,2,1
2,1,-0.01,5,1
5,1,-1.0,5,1
5,2,-1.0,5,1
5,1,-1.0,5,1
5,1,-1.0,5,1
5,3,-1.0,5,1
0,1,-0.01,3,0
3,1,-0.01,6,0
6,0,-0.01,3,0
3,1,-0.01,6,0
6,3,-0.01,7,0
7,2,-0.01,6,0
6,3,-0.01,7,0
7,3,-0.01,8,0
0,2,-0.01,0,0
0,1,-0.01,3,0
3,1,-0.01,6,0
6,3,-0.01,7,0
7,3,-0.01,8,0
0,3,-0.01,1,1
1,1,-0.01,1,1
1,3,-0.01,2,1
2,1,-0.01,5,1
5,2,-1.0,5,1
5,2,-1.0,5,1
5,3,-1.0,5,1
5,1,-1.0,5,1
5,1,-1.0,5,1
5,0,-1.0,5,1
5,1,-1.0,5,1
5,3,-1.0,5,1
5,0,-1.0,5,1
5,3,-1.0,5,1
5,2,-1.0,5,1
5,0,-1.0,5,1
5,1,-1.0,5,1
5,2,-1.0,5,1
5,1,-1.0,5,1
5,0,-1.0,5,1
5,2,-1.0,5,1
5,2,-1.0,5,1
5,0,-1.0,5,1
5,1,-1.0,5,1
5,0,-1.0,5,1
5,2,-1.0,5,1
5,2,-1.0,5,1
5,2,-1.0,5,1
5,3,-1.0,5,1
5,3,-1.0,5,1
0,1,-0.01,3,0
3,1,-0.01,6,0
6,3,-0.01,7,0
7,1,-0.01,7,0
7,3,-0.01,8,0
0,1,-0.01,3,0
3,1,-0.01,6,0
6,0,-0.01,3,0
3,1,-0.01,6,0
6,3,-0.01,7,0
7,3,-0.01,8,0
0,1,-0.01,3,0
3,1,-0.01,6,0
6,3,-0.01,7,0
7,3,-0.01,8,0
0,1,-0.01,3,0
3,2,-0.01,3,0
3,3,-0.01,3,0
3,1,-0.01,6,0
6,3,-0.01,7,0
7,3,-0.01,8,0
0,3,-0.01,1,0
1,0,-0.01,1,0
1,2,-0.01,0,0
0,1,-0.01,3,0
3,1,-0.01,6,0
6,3,-0.01,7,0
7,3,-0.01,8,0
0,1,-0.01,3,0
3,1,-0.01,6,0
6,3,-0.01,7,0
7,0,-0.01,7,0
7,0,-0.01,7,0
7,0,-0.01,7,0
7,2,-0.01,6,0
6,3,-0.01,7,0
7,2,-0.01,6,0
6,3,-0.01,7,0
7,1,-0.01,7,0
7,3,-0.01,8,0
0,1,-0.01,3,0
3,1,-0.01,6,0
6,1,-0.01,6,0
6,3,-0.01,7,0
7,3,-0.01,8,0
0,3,-0.01,1,0
1,2,-0.01,0,0
0,1,-0.01,3,0
3,1,-0.01,6,0
6,3,-0.01,7,0
7,3,-0.01,8,0
0,1,-0.01,3,0
3,1,-0.01,6,0
6,3,-0.01,7,0
7,1,-0.01,7,0
7,3,-0.01,8,0
0,1,-0.01,3,0
3,3,-0.01,3,0
3,3,-0.01,3,0
3,1,-0.01,6,0
6,3,-0.01,7,0
7,0,-0.01,7,0
7,3,-0.01,8,0
0,1,-0.01,3,0
3,1,-0.01,6,0
6,3,-0.01,7,0
7,3,-0.01,8,0
0,1,-0.01,3,0
3,1,-0.01,6,0
6,2,-0.01,6,0
6,3,-0.01,7,0
7,3,-0.01,8,0
0,1,-0.01,3,0
3,1,-0.01,6,0
6,1,-0.01,6,0
6,3,-0.01,7,0
7,3,-0.01,8,0
0,2,-0.01,0,0
0,1,-0.01,3,0
3,1,-0.01,6,0
6,3,-0.01,7,0
7,2,-0.01,6,0
6,3,-0.01,7,0
7,3,-0.01,8,0
0,3,-0.01,1,0
1,2,-0.01,0,0
0,1,-0.01,3,0
3,1,-0.01,6,0
6,1,-0.01,6,0
6,3,-0.01,7,0
7,3,-0.01,8,0
0,1,-0.01,3,0
3,1,-0.01,6,0
6,3,-0.01,7,0
7,3,-0.01,8,0
0,0,-0.01,0,0
0,1,-0.01,3,0
3,0,-0.01,0,0
0,1,-0.01,3,0
3,2,-0.01,3,0
3,1,-0.01,6,0
6,0,-0.01,3,0
3,1,-0.01,6,0
6,1,-0.01,6,0
6,1,-0.01,6,0
6,3,-0.01,7,0
7,3,-0.01,8,0
0,3,-0.01,1,1
1,3,-0.01,2,1
2,0,-0.01,2,1
2,3,-0.01,2,1
2,0,-0.01,2,1
2,2,-0.01,1,1
1,3,-0.01,2,1
2,3,-0.01,2,1
2,0,-0.01,2,1
2,3,-0.01,2,1
2,0,-0.01,2,1
2,2,-0.01,1,1
1,1,-0.01,1,1
1,1,-0.01,1,1
1,0,-0.01,1,1
1,3,-0.01,2,1
2,1,-0.01,5,1
5,2,-1.0,5,1
5,1,-1.0,5,1
5,1,-1.0,5,1
5,3,-1.0,5,1
5,0,-1.0,5,1
5,2,-1.0,5,1
5,2,-1.0,5,1
5,1,-1.0,5,1
5,1,-1.0,5,1
5,0,-1.0,5,1
5,3,-1.0,5,1
5,3,-1.0,5,1
5,0,-1.0,5,1
0,1,-0.01,3,0
3,0,-0.01,0,0
0,1,-0.01,3,0
3,1,-0.01,6,0
6,3,-0.01,7,0
7,3,-0.01,8,0
0,1,-0.01,3,0
3,1,-0.01,6,0
6,0,-0.01,3,0
3,1,-0.01,6,0
6,3,-0.01,7,0
7,3,-0.01,8,0
0,0,-0.01,0,1
0,3,-0.01,1,1
1,3,-0.01,2,1
2,0,-0.01,2,1
2,2,-0.01,1,1
1,0,-0.01,1,1
1,1,-0.01,1,1
1,2,-0.01,0,1
0,2,-0.01,0,1
0,3,-0.01,1,1
1,0,-0.01,1,1
1,0,-0.01,1,1
1,1,-0.01,1,1
1,1,-0.01,1,1
1,3,-0.01,2,1
2,3,-0.01,2,1
2,1,-0.01,5,1
5,3,-1.0,5,1
5,1,-1.0,5,1
5,2,-1.0,5,1
5,1,-1.0,5,1
5,0,-1.0,5,1
5,3,-1.0,5,1
5,0,-1.0,5,1
5,0,-1.0,5,1
5,0,-1.0,5,1
5,1,-1.0,5,1
5,0,-1.0,5,1
5,0,-1.0,5,1
5,2,-1.0,5,1
0,1,-0.01,3,0
3,1,-0.01,6,0
6,3,-0.01,7,0
7,3,-0.01,8,0
0,1,-0.01,3,0
3,1,-0.01,6,0
6,3,-0.01,7,0
7,3,-0.01,8,0
0,1,-0.01,3,0
3,1,-0.01,6,0
6,3,-0.01,7,0
7,0,-0.01,7,0
7,3,-0.01,8,0
0,1,-0.01,3,1
3,2,-0.01,3,1
3,3,-0.01,3,1
3,2,-0.01,3,1
3,3,-0.01,3,1
3,2,-0.01,3,1
3,1,-0.01,6,1
6,0,-0.01,3,1
3,3,-0.01,3,1
3,3,-0.01,3,1
3,0,-0.01,0,1
0,2,-0.01,0,1
0,0,-0.01,0,1
0,2,-0.01,0,1
0,3,-0.01,1,1
1,0,-0.01,1,1
1,1,-0.01,1,1
1,0,-0.01,1,1
1,2,-0.01,0,1
0,3,-0.01,1,1
1,0,-0.01,1,1
1,1,-0.01,1,1
1,3,-0.01,2,1
2,1,-0.01,5,1
5,0,-1.0,5,1
5,1,-1.0,5,1
5,2,-1.0,5,1
5,2,-1.0,5,1
5,1,-1.0,5,1
5,3,-1.0,5,1
0,1,-0.01,3,0
3,1,-0.01,6,0
6,3,-0.01,7,0
7,2,-0.01,6,0
6,3,-0.01,7,0
7,3,-0.01,8,0
0,1,-0.01,3,0
3,1,-0.01,6,0
6,1,-0.01,6,0
6,3,-0.01,7,0
7,3,-0.01,8,0
0,1,-0.01,3,0
3,1,-0.01,6,0
6,0,-0.01,3,0
3,2,-0.01,3,0
3,1,-0.01,6,0
6,3,-0.01,7,0
7,2,-0.01,6,0
6,0,-0.01,3,0
3,2,-0.01,3,0
3,3,-0.01,3,0
3,0,-0.01,0,0
0,2,-0.01,0,0
0,1,-0.01,3,0
3,1,-0.01,6,0
6,3,-0.01,7,0
7,3,-0.01,8,0
0,0,-0.01,0,1
0,2,-0.01,0,1
0,1,-0.01,3,1
3,0,-0.01,0,1
0,3,-0.01,1,1
1,0,-0.01,1,1
1,2,-0.01,0,1
0,0,-0.01,0,1
0,3,-0.01,1,1
1,2,-0.01,0,1
0,3,-0.01,1,1
1,1,-0.01,1,1
1,1,-0.01,1,1
1,2,-0.01,0,1
0,3,-0.01,1,1
1,3,-0.01,2,1
2,0,-0.01,2,1
2,2,-0.01,1,1
1,0,-0.01,1,1
1,1,-0.01,1,1
1,3,-0.01,2,1
2,1,-0.01,5,1
5,3,-1.0,5,1
5,1,-1.0,5,1
5,0,-1.0,5,1
5,1,-1.0,5,1
5,2,-1.0,5,1
5,3,-1.0,5,1
5,2,-1.0,5,1
5,3,-1.0,5,1
0,1,-0.01,3,0
3,3,-0.01,3,0
3,3,-0.01,3,0
3,1,-0.01,6,0
6,3,-0.01,7,0
7,2,-0.01,6,0
6,3,-0.01,7,0
7,1,-0.01,7,0
7,3,-0.01,8,0
0,1,-0.01,3,1
3,0,-0.01,0,1
0,1,-0.01,3,1
3,3,-0.01,3,1
3,1,-0.01,6,1
6,0,-0.01,3,1
3,2,-0.01,3,1
3,3,-0.01,3,1
3,3,-0.01,3,1
3,1,-0.01,6,1
6,1,-0.01,6,1
6,2,-0.01,6,1
6,0,-0.01,3,1
3,1,-0.01,6,1
6,0,-0.01,3,1
3,3,-0.01,3,1
3,2,-0.01,3,1
3,3,-0.01,3,1
3,3,-0.01,3,1
3,3,-0.01,3,1
3,0,-0.01,0,1
0,3,-0.01,1,1
1,0,-0.01,1,1
1,1,-0.01,1,1
1,2,-0.01,0,1
0,1,-0.01,3,1
3,0,-0.01,0,1
0,0,-0.01,0,1
0,3,-0.01,1,1
1,1,-0.01,1,1
0,1,-0.01,3,0
3,1,-0.01,6,0
6,3,-0.01,7,0
7,3,-0.01,8,0
0,1,-0.01,3,1
3,3,-0.01,3,1
3,0,-0.01,0,1
0,3,-0.01,1,1
1,3,-0.01,2,1
2,2,-0.01,1,1
1,0,-0.01,1,1
1,0,-0.01,1,1
1,1,-0.01,1,1
1,2,-0.01,0,1
0,0,-0.01,0,1
0,1,-0.01,3,1
3,0,-0.01,0,1
0,2,-0.01,0,1
0,0,-0.01,0,1
0,2,-0.01,0,1
0,0,-0.01,0,1
0,0,-0.01,0,1
0,0,-0.01,0,1
0,3,-0.01,1,1
1,0,-0.01,1,1
1,1,-0.01,1,1
1,2,-0.01,0,1
0,2,-0.01,0,1
0,2,-0.01,0,1
0,3,-0.01,1,1
1,1,-0.01,1,1
1,3,-0.01,2,1
2,1,-0.01,5,1
5,3,-1.0,5,1
0,1,-0.01,3,0
3,1,-0.01,6,0
6,2,-0.01,6,0
6,2,-0.01,6,0
6,3,-0.01,7,0
7,3,-0.01,8,0
0,3,-0.01,1,0
1,2,-0.01,0,0
0,3,-0.01,1,0
1,2,-0.01,0,0
0,1,-0.01,3,0
3,1,-0.01,6,0
6,3,-0.01,7,0
7,3,-0.01,8,0
0,0,-0.01,0,1
0,1,-0.01,3,1
3,0,-0.01,0,1
0,3,-0.01,1,1
1,0,-0.01,1,1
1,0,-0.01,1,1
1,0,-0.01,1,1
1,2,-0.01,0,1
0,2,-0.01,0,1
0,3,-0.01,1,1
1,1,-0.01,1,1
1,1,-0.01,1,1
1,0,-0.01,1,1
1,0,-0.01,1,1
1,1,-0.01,1,1
1,3,-0.01,2,1
2,2,-0.01,1,1
1,3,-0.01,2,1
2,0,-0.01,2,1
2,0,-0.01,2,1
2,3,-0.01,2,1
2,0,-0.01,2,1
2,0,-0.01,2,1
2,1,-0.01,5,1
5,3,-1.0,5,1
5,2,-1.0,5,1
5,0,-1.0,5,1
5,3,-1.0,5,1
5,3,-1.0,5,1
5,3,-1.0,5,1
0,1,-0.01,3,0
3,1,-0.01,6,0
6,3,-0.01,7,0
7,0,-0.01,7,0
7,3,-0.01,8,0
0,3,-0.01,1,0
1,1,-0.01,1,0
1,2,-0.01,0,0
0,1,-0.01,3,0
3,1,-0.01,6,0
6,3,-0.01,7,0
7,3,-0.01,8,0
0,2,-0.01,0,0
0,1,-0.01,3,0
3,1,-0.01,6,0
6,3,-0.01,7,0
7,3,-0.01,8,0
0,1,-0.01,3,0
3,1,-0.01,6,0
6,2,-0.01,6,0
6,3,-0.01,7,0
7,3,-0.01,8,0
0,1,-0.01,3,0
3,1,-0.01,6,0
6,3,-0.01,7,0
7,3,-0.01,8,0
0,1,-0.01,3,0
3,1,-0.01,6,0
6,3,-0.01,7,0
7,3,-0.01,8,0
0,1,-0.01,3,0
3,1,-0.01,6,0
6,3,-0.01,7,0
7,2,-0.01,6,0
6,3,-0.01,7,0
7,3,-0.01,8,0
0,1,-0.01,3,0
3,2,-0.01,3,0
3,3,-0.01,3,0
3,1,-0.01,6,0
6,2,-0.01,6,0
6,3,-0.01,7,0
7,3,-0.01,8,0
0,0,-0.01,0,1
0,3,-0.01,1,1
1,2,-0.01,0,1
0,1,-0.01,3,1
3,2,-0.01,3,1
3,3,-0.01,3,1
3,3,-0.01,3,1
3,3,-0.01,3,1
3,1,-0.01,6,1
6,3,-0.01,7,1
7,1,-0.01,7,1
7,2,-0.01,6,1
6,2,-0.01,6,1
6,0,-0.01,3,1
3,1,-0.01,6,1
6,0,-0.01,3,1
3,0,-0.01,0,1
0,1,-0.01,3,1
3,1,-0.01,6,1
6,0,-0.01,3,1
3,1,-0.01,6,1
6,2,-0.01,6,1
6,0,-0.01,3,1
3,1,-0.01,6,1
6,1,-0.01,6,1
6,2,-0.01,6,1
6,1,-0.01,6,1
6,2,-0.01,6,1
6,1,-0.01,6,1
6,1,-0.01,6,1
0,1,-0.01,3,0
3,1,-0.01,6,0
6,3,-0.01,7,0
7,0,-0.01,7,0
7,3,-0.01,8,0
0,2,-0.01,0,1
0,0,-0.01,0,1
0,1,-0.01,3,1
3,3,-0.01,3,1
3,3,-0.01,3,1
3,2,-0.01,3,1
3,3,-0.01,3,1
3,3,-0.01,3,1
3,1,-0.01,6,1
6,3,-0.01,7,1
7,1,-0.01,7,1
7,1,-0.01,7,1
7,2,-0.01,6,1
6,3,-0.01,7,1
7,3,-0.01,8,1
0,1,-0.01,3,0
3,1,-0.01,6,0
6,3,-0.01,7,0
7,3,-0.01,8,0
0,2,-0.01,0,1
0,0,-0.01,0,1
0,3,-0.01,1,1
1,2,-0.01,0,1
0,2,-0.01,0,1
0,3,-0.01,1,1
1,2,-0.01,0,1
0,0,-0.01,0,1
0,1,-0.01,3,1
3,0,-0.01,0,1
0,2,-0.01,0,1
0,0,-0.01,0,1
0,0,-0.01,0,1
0,2,-0.01,0,1
0,2,-0.01,0,1
0,2,-0.01,0,1
0,3,-0.01,1,1
1,3,-0.01,2,1
2,0,-0.01,2,1
2,3,-0.01,2,1
2,2,-0.01,1,1
1,2,-0.01,0,1
0,0,-0.01,0,1
0,2,-0.01,0,1
0,2,-0.01,0,1
0,2,-0.01,0,1
0,0,-0.01,0,1
0,2,-0.01,0,1
0,3,-0.01,1,1
1,2,-0.01,0,1
0,0,-0.01,0,0
0,1,-0.01,3,0
3,1,-0.01,6,0
6,3,-0.01,7,0
7,3,-0.01,8,0
0,1,-0.01,3,0
3,1,-0.01,6,0
6,3,-0.01,7,0
7,3,-0.01,8,0
0,3,-0.01,1,1
1,0,-0.01,1,1
1,3,-0.01,2,1
2,1,-0.01,5,1
5,2,-1.0,5,1
5,1,-1.0,5,1
5,3,-1.0,5,1
5,3,-1.0,5,1
5,3,-1.0,5,1
5,3,-1.0,5,1
5,3,-1.0,5,1
5,0,-1.0,5,1
5,1,-1.0,5,1
5,2,-1.0,5,1
5,2,-1.0,5,1
5,0,-1.0,5,1
5,0,-1.0,5,1
5,2,-1.0,5,1
5,2,-1.0,5,1
5,0,-1.0,5,1
5,0,-1.0,5,1
5,0,-1.0,5,1
5,2,-1.0,5,1
5,0,-1.0,5,1
