feature_type,reset_name,reset_probs,policy_fraction,random_fraction,epsilon,n_transitions,mean_steps,successes,solver_alpha,solver_eta,solver_rho,solver_T,solver_beta,dataset_rows,status,error
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.2,0.8,0.2,40000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,40000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.2,0.8,0.2,50000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,50000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.2,0.8,0.4,10000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,10000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.2,0.8,0.4,20000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,20000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.2,0.8,0.4,30000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,30000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.2,0.8,0.4,40000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,40000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.2,0.8,0.4,50000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,50000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.2,0.8,0.6,10000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,10000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.2,0.8,0.6,20000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,20000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.2,0.8,0.6,30000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,30000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.2,0.8,0.6,40000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,40000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.2,0.8,0.6,50000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,50000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.2,0.8,0.8,10000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,10000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.2,0.8,0.8,20000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,20000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.2,0.8,0.8,30000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,30000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.2,0.8,0.8,40000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,40000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.2,0.8,0.8,50000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,50000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.2,0.8,1.0,10000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,10000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.2,0.8,1.0,20000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,20000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.2,0.8,1.0,30000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,30000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.2,0.8,1.0,40000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,40000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.2,0.8,1.0,50000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,50000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.0,1.0,0.0,10000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,10000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.0,1.0,0.0,20000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,20000,ok,
tabular,x0_0_custom_100,"{""custom"": 1.0, ""x0"": 0.0}",0.0,1.0,0.0,30000,200.0,0,0.0001,2e-05,0.5,20000,1e-06,30000,ok,
