state,action,reward,next_state
0,3,-0.1,1
1,0,-0.1,1
1,2,-0.1,0
0,1,-0.1,10
10,0,-0.1,0
0,3,-0.1,1
1,3,-0.1,2
2,0,-0.1,2
2,0,-0.1,2
2,1,-0.1,12
12,0,-0.1,2
2,2,-0.1,1
1,3,-0.1,2
2,1,-0.1,12
12,3,-0.1,13
13,2,-0.1,12
12,2,-0.1,12
12,0,-0.1,2
2,3,-0.1,3
3,0,-0.1,3
3,0,-0.1,3
3,3,-0.1,3
3,1,-0.1,13
13,2,-0.1,12
12,0,-0.1,2
2,3,-0.1,3
3,3,-0.1,3
3,0,-0.1,3
3,0,-0.1,3
3,0,-0.1,3
3,0,-0.1,3
3,1,-0.1,13
13,1,-0.1,23
23,2,-0.1,23
23,3,-0.1,24
24,0,-0.1,24
24,0,-0.1,24
24,3,-0.1,25
25,0,-0.1,15
15,2,-0.1,15
15,2,-0.1,15
15,1,-0.1,25
25,1,-0.1,35
35,3,-0.1,36
36,1,-0.1,36
36,1,-0.1,36
36,3,-0.1,36
36,3,-0.1,36
36,1,-0.1,36
36,0,-0.1,26
26,3,-0.1,26
26,3,-0.1,26
26,3,-0.1,26
26,0,-0.1,16
16,0,-0.1,6
6,3,-0.1,7
7,1,-0.1,7
7,1,-0.1,7
7,3,-0.1,8
8,1,-0.1,18
0,3,-0.1,1
1,3,-0.1,2
2,0,-0.1,2
2,2,-0.1,1
1,3,-0.1,2
2,0,-0.1,2
2,3,-0.1,3
3,2,-0.1,2
2,1,-0.1,12
12,2,-0.1,12
12,2,-0.1,12
12,1,-0.1,12
12,1,-0.1,12
12,0,-0.1,2
2,3,-0.1,3
3,1,-0.1,13
13,0,-0.1,3
3,1,-0.1,13
13,3,-0.1,13
13,1,-0.1,23
23,0,-0.1,13
13,1,-0.1,23
23,2,-0.1,23
23,3,-0.1,24
24,1,-0.1,24
24,3,-0.1,25
25,0,-0.1,15
15,2,-0.1,15
15,1,-0.1,25
25,3,-0.1,26
26,2,-0.1,25
25,0,-0.1,15
15,0,-0.1,5
5,3,-0.1,6
6,0,-0.1,6
6,1,-0.1,16
16,0,-0.1,6
6,1,-0.1,16
16,0,-0.1,6
6,2,-0.1,5
5,2,-0.1,5
5,3,-0.1,6
6,2,-0.1,5
5,2,-0.1,5
5,3,-0.1,6
6,2,-0.1,5
5,2,-0.1,5
5,3,-0.1,6
6,3,-0.1,7
7,1,-0.1,7
7,1,-0.1,7
7,2,-0.1,6
6,1,-0.1,16
16,1,-0.1,26
26,3,-0.1,26
26,0,-0.1,16
16,1,-0.1,26
26,3,-0.1,26
26,0,-0.1,16
16,2,-0.1,15
15,1,-0.1,25
25,0,-0.1,15
15,2,-0.1,15
15,2,-0.1,15
15,2,-0.1,15
15,0,-0.1,5
5,0,-0.1,5
5,0,-0.1,5
5,2,-0.1,5
5,0,-0.1,5
5,0,-0.1,5
5,3,-0.1,6
6,1,-0.1,16
16,2,-0.1,15
15,1,-0.1,25
25,3,-0.1,26
26,0,-0.1,16
16,3,-0.1,16
16,0,-0.1,6
6,0,-0.1,6
6,1,-0.1,16
16,1,-0.1,26
26,3,-0.1,26
26,1,-0.1,36
36,0,-0.1,26
26,2,-0.1,25
25,3,-0.1,26
26,1,-0.1,36
36,1,-0.1,36
36,2,-0.1,35
35,0,-0.1,25
25,3,-0.1,26
26,1,-0.1,36
36,3,-0.1,36
36,1,-0.1,36
36,1,-0.1,36
36,2,-0.1,35
35,2,-0.1,35
35,1,-0.1,35
35,1,-0.1,35
0,1,-0.1,10
10,0,-0.1,0
0,3,-0.1,1
1,2,-0.1,0
0,3,-0.1,1
1,2,-0.1,0
0,1,-0.1,10
10,2,-0.1,10
10,0,-0.1,0
0,0,-0.1,0
0,2,-0.1,0
0,3,-0.1,1
1,0,-0.1,1
1,1,-0.1,1
1,3,-0.1,2
2,1,-0.1,12
12,3,-0.1,13
13,0,-0.1,3
3,1,-0.1,13
13,2,-0.1,12
12,2,-0.1,12
12,2,-0.1,12
12,0,-0.1,2
2,0,-0.1,2
2,1,-0.1,12
12,1,-0.1,12
12,1,-0.1,12
12,3,-0.1,13
13,2,-0.1,12
12,2,-0.1,12
12,1,-0.1,12
12,0,-0.1,2
2,2,-0.1,1
1,1,-0.1,1
1,0,-0.1,1
1,2,-0.1,0
0,2,-0.1,0
0,0,-0.1,0
0,2,-0.1,0
0,2,-0.1,0
0,1,-0.1,10
10,2,-0.1,10
10,1,-0.1,20
20,0,-0.1,10
10,3,-0.1,10
10,2,-0.1,10
10,0,-0.1,0
0,3,-0.1,1
1,3,-0.1,2
2,0,-0.1,2
2,2,-0.1,1
1,3,-0.1,2
2,1,-0.1,12
12,3,-0.1,13
13,2,-0.1,12
12,1,-0.1,12
12,3,-0.1,13
13,2,-0.1,12
12,3,-0.1,13
13,2,-0.1,12
12,3,-0.1,13
13,3,-0.1,13
13,2,-0.1,12
12,1,-0.1,12
12,0,-0.1,2
2,3,-0.1,3
3,1,-0.1,13
13,1,-0.1,23
23,2,-0.1,23
23,2,-0.1,23
23,0,-0.1,13
13,0,-0.1,3
3,2,-0.1,2
2,0,-0.1,2
2,2,-0.1,1
1,2,-0.1,0
0,3,-0.1,1
1,0,-0.1,1
1,2,-0.1,0
0,0,-0.1,0
0,1,-0.1,10
10,0,-0.1,0
0,1,-0.1,10
10,3,-0.1,10
10,3,-0.1,10
10,2,-0.1,10
10,1,-0.1,20
20,1,-0.1,30
30,3,-0.1,31
31,0,-0.1,31
31,2,-0.1,30
30,2,-0.1,30
30,2,-0.1,30
30,2,-0.1,30
30,3,-0.1,31
31,1,-0.1,41
41,2,-0.1,41
41,1,-0.1,51
51,2,-0.1,50
50,1,-0.1,60
0,1,-0.1,10
10,1,-0.1,20
20,2,-0.1,20
20,3,-0.1,20
20,2,-0.1,20
20,1,-0.1,30
30,0,-0.1,20
20,2,-0.1,20
20,3,-0.1,20
20,0,-0.1,10
10,0,-0.1,0
0,2,-0.1,0
0,0,-0.1,0
0,0,-0.1,0
0,3,-0.1,1
1,1,-0.1,1
1,2,-0.1,0
0,2,-0.1,0
0,1,-0.1,10
10,2,-0.1,10
10,0,-0.1,0
0,2,-0.1,0
0,3,-0.1,1
1,0,-0.1,1
1,0,-0.1,1
1,1,-0.1,1
1,0,-0.1,1
1,1,-0.1,1
1,0,-0.1,1
1,1,-0.1,1
1,0,-0.1,1
1,1,-0.1,1
1,0,-0.1,1
1,0,-0.1,1
1,2,-0.1,0
0,3,-0.1,1
1,1,-0.1,1
1,3,-0.1,2
2,1,-0.1,12
12,0,-0.1,2
2,0,-0.1,2
2,0,-0.1,2
2,2,-0.1,1
1,2,-0.1,0
0,0,-0.1,0
0,2,-0.1,0
0,2,-0.1,0
0,1,-0.1,10
10,2,-0.1,10
10,1,-0.1,20
20,0,-0.1,10
10,3,-0.1,10
10,1,-0.1,20
20,2,-0.1,20
20,1,-0.1,30
30,1,-0.1,30
30,0,-0.1,20
20,1,-0.1,30
30,2,-0.1,30
30,2,-0.1,30
30,2,-0.1,30
30,1,-0.1,30
30,2,-0.1,30
30,3,-0.1,31
31,1,-0.1,41
41,0,-0.1,31
31,2,-0.1,30
30,2,-0.1,30
30,3,-0.1,31
31,2,-0.1,30
30,1,-0.1,30
30,3,-0.1,31
31,3,-0.1,32
0,2,-0.1,0
0,1,-0.1,10
10,0,-0.1,0
0,0,-0.1,0
0,1,-0.1,10
10,0,-0.1,0
0,0,-0.1,0
0,1,-0.1,10
10,2,-0.1,10
10,3,-0.1,10
10,0,-0.1,0
0,1,-0.1,10
10,1,-0.1,20
20,0,-0.1,10
10,3,-0.1,10
10,0,-0.1,0
0,1,-0.1,10
10,3,-0.1,10
10,0,-0.1,0
0,0,-0.1,0
0,2,-0.1,0
0,3,-0.1,1
1,1,-0.1,1
1,0,-0.1,1
1,3,-0.1,2
2,0,-0.1,2
2,0,-0.1,2
2,1,-0.1,12
12,1,-0.1,12
12,1,-0.1,12
12,0,-0.1,2
2,0,-0.1,2
2,3,-0.1,3
3,3,-0.1,3
3,3,-0.1,3
3,1,-0.1,13
13,3,-0.1,13
13,2,-0.1,12
12,2,-0.1,12
12,2,-0.1,12
12,0,-0.1,2
2,1,-0.1,12
12,1,-0.1,12
12,0,-0.1,2
2,3,-0.1,3
3,1,-0.1,13
13,1,-0.1,23
23,3,-0.1,24
24,3,-0.1,25
25,2,-0.1,24
24,3,-0.1,25
25,3,-0.1,26
26,1,-0.1,36
36,2,-0.1,35
35,1,-0.1,35
35,3,-0.1,36
36,3,-0.1,36
36,3,-0.1,36
36,0,-0.1,26
26,2,-0.1,25
25,3,-0.1,26
26,0,-0.1,16
16,1,-0.1,26
26,2,-0.1,25
25,0,-0.1,15
15,0,-0.1,5
5,1,-0.1,15
15,2,-0.1,15
15,3,-0.1,16
16,3,-0.1,16
16,0,-0.1,6
6,1,-0.1,16
16,1,-0.1,26
26,2,-0.1,25
25,0,-0.1,15
15,2,-0.1,15
15,2,-0.1,15
15,3,-0.1,16
16,3,-0.1,16
16,1,-0.1,26
26,1,-0.1,36
36,3,-0.1,36
36,3,-0.1,36
36,1,-0.1,36
36,0,-0.1,26
26,3,-0.1,26
26,0,-0.1,16
16,2,-0.1,15
15,2,-0.1,15
15,1,-0.1,25
25,3,-0.1,26
26,0,-0.1,16
16,0,-0.1,6
6,2,-0.1,5
5,2,-0.1,5
5,3,-0.1,6
6,0,-0.1,6
6,3,-0.1,7
7,1,-0.1,7
7,2,-0.1,6
0,3,-0.1,1
1,3,-0.1,2
2,2,-0.1,1
1,2,-0.1,0
0,0,-0.1,0
0,2,-0.1,0
0,2,-0.1,0
0,2,-0.1,0
0,2,-0.1,0
0,0,-0.1,0
0,0,-0.1,0
0,1,-0.1,10
10,0,-0.1,0
0,3,-0.1,1
1,0,-0.1,1
1,1,-0.1,1
1,1,-0.1,1
1,1,-0.1,1
1,1,-0.1,1
1,3,-0.1,2
2,2,-0.1,1
1,3,-0.1,2
2,2,-0.1,1
1,2,-0.1,0
0,0,-0.1,0
0,1,-0.1,10
10,2,-0.1,10
10,1,-0.1,20
20,3,-0.1,20
20,2,-0.1,20
20,3,-0.1,20
20,0,-0.1,10
10,3,-0.1,10
10,1,-0.1,20
20,3,-0.1,20
20,3,-0.1,20
20,0,-0.1,10
10,2,-0.1,10
10,3,-0.1,10
10,2,-0.1,10
10,1,-0.1,20
20,0,-0.1,10
10,0,-0.1,0
0,0,-0.1,0
0,3,-0.1,1
1,1,-0.1,1
1,2,-0.1,0
0,0,-0.1,0
0,3,-0.1,1
1,0,-0.1,1
1,2,-0.1,0
0,3,-0.1,1
1,0,-0.1,1
1,0,-0.1,1
1,2,-0.1,0
0,0,-0.1,0
0,2,-0.1,0
0,3,-0.1,1
1,0,-0.1,1
1,0,-0.1,1
1,1,-0.1,1
1,3,-0.1,2
2,1,-0.1,12
12,1,-0.1,12
12,2,-0.1,12
12,1,-0.1,12
12,3,-0.1,13
13,1,-0.1,23
23,1,-0.1,33
33,3,-0.1,33
33,0,-0.1,23
23,3,-0.1,24
24,1,-0.1,24
24,0,-0.1,24
24,3,-0.1,25
25,0,-0.1,15
15,2,-0.1,15
15,0,-0.1,5
5,2,-0.1,5
5,2,-0.1,5
5,1,-0.1,15
15,1,-0.1,25
25,1,-0.1,35
35,1,-0.1,35
35,3,-0.1,36
36,3,-0.1,36
36,3,-0.1,36
36,1,-0.1,36
36,3,-0.1,36
36,2,-0.1,35
35,3,-0.1,36
36,1,-0.1,36
36,1,-0.1,36
36,0,-0.1,26
26,3,-0.1,26
26,0,-0.1,16
16,2,-0.1,15
15,1,-0.1,25
25,3,-0.1,26
26,0,-0.1,16
0,3,-0.1,1
1,0,-0.1,1
1,3,-0.1,2
2,2,-0.1,1
1,1,-0.1,1
1,3,-0.1,2
2,2,-0.1,1
1,0,-0.1,1
1,1,-0.1,1
1,3,-0.1,2
2,3,-0.1,3
3,1,-0.1,13
13,0,-0.1,3
3,2,-0.1,2
2,1,-0.1,12
12,1,-0.1,12
12,0,-0.1,2
2,0,-0.1,2
2,0,-0.1,2
2,3,-0.1,3
3,3,-0.1,3
3,1,-0.1,13
13,3,-0.1,13
13,1,-0.1,23
23,3,-0.1,24
24,3,-0.1,25
25,3,-0.1,26
26,1,-0.1,36
36,0,-0.1,26
26,0,-0.1,16
16,0,-0.1,6
6,1,-0.1,16
16,0,-0.1,6
6,2,-0.1,5
5,2,-0.1,5
5,3,-0.1,6
6,3,-0.1,7
7,0,-0.1,7
7,2,-0.1,6
6,1,-0.1,16
16,2,-0.1,15
15,1,-0.1,25
25,1,-0.1,35
35,1,-0.1,35
35,0,-0.1,25
25,3,-0.1,26
26,3,-0.1,26
26,2,-0.1,25
25,3,-0.1,26
26,1,-0.1,36
36,1,-0.1,36
36,2,-0.1,35
35,1,-0.1,35
35,2,-0.1,35
35,1,-0.1,35
35,1,-0.1,35
35,0,-0.1,25
25,0,-0.1,15
15,2,-0.1,15
15,3,-0.1,16
16,3,-0.1,16
16,3,-0.1,16
16,0,-0.1,6
6,1,-0.1,16
16,0,-0.1,6
6,1,-0.1,16
16,2,-0.1,15
15,3,-0.1,16
16,0,-0.1,6
6,1,-0.1,16
16,3,-0.1,16
16,2,-0.1,15
15,1,-0.1,25
25,2,-0.1,24
24,1,-0.1,24
24,0,-0.1,24
24,3,-0.1,25
25,0,-0.1,15
15,0,-0.1,5
5,2,-0.1,5
5,1,-0.1,15
15,3,-0.1,16
16,3,-0.1,16
16,2,-0.1,15
15,3,-0.1,16
16,0,-0.1,6
6,3,-0.1,7
7,2,-0.1,6
6,2,-0.1,5
5,0,-0.1,5
5,1,-0.1,15
15,1,-0.1,25
25,3,-0.1,26
26,1,-0.1,36
36,1,-0.1,36
36,2,-0.1,35
35,1,-0.1,35
35,1,-0.1,35
35,1,-0.1,35
35,1,-0.1,35
0,2,-0.1,0
0,3,-0.1,1
1,3,-0.1,2
2,2,-0.1,1
1,1,-0.1,1
1,2,-0.1,0
0,1,-0.1,10
10,3,-0.1,10
10,3,-0.1,10
10,1,-0.1,20
20,1,-0.1,30
30,0,-0.1,20
20,3,-0.1,20
20,0,-0.1,10
10,2,-0.1,10
10,1,-0.1,20
20,3,-0.1,20
20,2,-0.1,20
20,0,-0.1,10
10,2,-0.1,10
10,3,-0.1,10
10,3,-0.1,10
10,0,-0.1,0
0,1,-0.1,10
10,0,-0.1,0
0,3,-0.1,1
1,0,-0.1,1
1,1,-0.1,1
1,3,-0.1,2
2,3,-0.1,3
3,2,-0.1,2
2,0,-0.1,2
2,3,-0.1,3
3,1,-0.1,13
13,0,-0.1,3
3,1,-0.1,13
13,2,-0.1,12
12,0,-0.1,2
2,2,-0.1,1
1,0,-0.1,1
1,0,-0.1,1
1,1,-0.1,1
1,0,-0.1,1
1,2,-0.1,0
0,1,-0.1,10
10,2,-0.1,10
10,1,-0.1,20
20,0,-0.1,10
10,0,-0.1,0
0,0,-0.1,0
0,2,-0.1,0
0,0,-0.1,0
0,3,-0.1,1
1,0,-0.1,1
1,1,-0.1,1
1,0,-0.1,1
1,2,-0.1,0
0,1,-0.1,10
10,2,-0.1,10
10,0,-0.1,0
0,3,-0.1,1
1,3,-0.1,2
2,2,-0.1,1
1,0,-0.1,1
1,0,-0.1,1
1,3,-0.1,2
2,3,-0.1,3
3,2,-0.1,2
2,0,-0.1,2
2,0,-0.1,2
2,3,-0.1,3
3,2,-0.1,2
2,1,-0.1,12
12,3,-0.1,13
13,3,-0.1,13
13,0,-0.1,3
3,1,-0.1,13
13,3,-0.1,13
13,0,-0.1,3
3,1,-0.1,13
13,2,-0.1,12
12,2,-0.1,12
12,1,-0.1,12
12,3,-0.1,13
13,1,-0.1,23
23,3,-0.1,24
24,2,-0.1,23
23,3,-0.1,24
24,1,-0.1,24
24,1,-0.1,24
24,1,-0.1,24
24,3,-0.1,25
25,2,-0.1,24
24,0,-0.1,24
24,2,-0.1,23
23,3,-0.1,24
24,3,-0.1,25
25,3,-0.1,26
26,1,-0.1,36
36,1,-0.1,36
0,0,-0.1,0
0,3,-0.1,1
1,0,-0.1,1
1,2,-0.1,0
0,3,-0.1,1
1,3,-0.1,2
2,1,-0.1,12
12,1,-0.1,12
12,3,-0.1,13
13,1,-0.1,23
23,2,-0.1,23
23,3,-0.1,24
24,0,-0.1,24
24,2,-0.1,23
23,1,-0.1,33
33,1,-0.1,33
33,0,-0.1,23
23,1,-0.1,33
33,0,-0.1,23
23,2,-0.1,23
23,2,-0.1,23
23,0,-0.1,13
13,0,-0.1,3
3,0,-0.1,3
3,2,-0.1,2
2,2,-0.1,1
1,3,-0.1,2
2,2,-0.1,1
1,2,-0.1,0
0,1,-0.1,10
10,1,-0.1,20
20,2,-0.1,20
20,3,-0.1,20
20,3,-0.1,20
20,3,-0.1,20
20,1,-0.1,30
30,3,-0.1,31
31,1,-0.1,41
41,2,-0.1,41
41,1,-0.1,51
51,3,-0.1,52
52,3,-0.1,53
53,3,-0.1,53
53,3,-0.1,53
53,2,-0.1,52
52,2,-0.1,51
51,1,-0.1,61
0,0,-0.1,0
0,0,-0.1,0
0,1,-0.1,10
10,2,-0.1,10
10,3,-0.1,10
10,3,-0.1,10
10,3,-0.1,10
10,0,-0.1,0
0,1,-0.1,10
10,0,-0.1,0
0,2,-0.1,0
0,1,-0.1,10
10,1,-0.1,20
20,0,-0.1,10
10,3,-0.1,10
10,2,-0.1,10
10,3,-0.1,10
10,3,-0.1,10
10,3,-0.1,10
10,2,-0.1,10
10,2,-0.1,10
10,0,-0.1,0
0,1,-0.1,10
10,0,-0.1,0
0,1,-0.1,10
10,2,-0.1,10
10,0,-0.1,0
0,1,-0.1,10
10,0,-0.1,0
0,2,-0.1,0
0,1,-0.1,10
10,1,-0.1,20
20,1,-0.1,30
30,3,-0.1,31
31,3,-0.1,32
0,3,-0.1,1
1,3,-0.1,2
2,2,-0.1,1
1,0,-0.1,1
1,1,-0.1,1
1,3,-0.1,2
2,3,-0.1,3
3,0,-0.1,3
3,0,-0.1,3
3,2,-0.1,2
2,1,-0.1,12
12,0,-0.1,2
2,2,-0.1,1
1,3,-0.1,2
2,1,-0.1,12
12,2,-0.1,12
12,0,-0.1,2
2,1,-0.1,12
12,3,-0.1,13
13,2,-0.1,12
12,1,-0.1,12
12,2,-0.1,12
12,1,-0.1,12
12,2,-0.1,12
12,1,-0.1,12
12,1,-0.1,12
12,1,-0.1,12
12,3,-0.1,13
13,0,-0.1,3
3,0,-0.1,3
3,1,-0.1,13
13,2,-0.1,12
12,0,-0.1,2
2,1,-0.1,12
12,1,-0.1,12
12,1,-0.1,12
12,1,-0.1,12
12,0,-0.1,2
2,0,-0.1,2
2,0,-0.1,2
2,2,-0.1,1
1,3,-0.1,2
2,2,-0.1,1
1,3,-0.1,2
2,1,-0.1,12
